Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
14/5/2015,4.08,0.87,0.75,5.73,2.24,1.76,2.38,1.28,1.01,1.89,0,0,0,0,1.15,
15/7/2015,13.52,5.4,0.8,20.9,5.39,9.31,3.56,7.59,4.03,7.09,1.43,1.94,1.59,0,1.04,
7/9/2015,23.99,15.28,0,37.58,13.11,19.69,18.83,20.07,10.81,16.16,5.73,4.46,3.57,0,3.78,
9/10/2015,28.24,21.27,0,46.41,17.52,24.69,24.12,25.52,14.39,21.28,9.02,5.97,6.57,0,4.87,
26/11/2015,32.06,23.57,0,52.55,18.39,27.76,25.82,29.44,18.42,24.01,10.37,7.2,9.39,0,5.84,
7/1/2016,32.74,25.45,,51.85,21.6,29.01,26.34,31.19,20.42,24.95,11.46,9.21,10.91,0,6.6,1.68
9/4/2016,33.18,26.36,,52.11,21.93,29.01,25.79,30.18,20.6,25.03,11.85,8.5,11.33,0,6.42,1.22
24/5/2016,39.04,28.96,0,59.51,24.61,32.24,30.51,33.95,24.46,29.44,14.52,10.52,12.67,0,7.42,3.1
30/6/2016,48.57,38.88,1.06,71.93,32.74,38.72,39.03,39.31,33.01,38.33,21.58,12.79,16.8,0,12.07,11.76
18/8/2016,57.45,49.76,5.94,86.02,42.22,47.96,50.67,50.04,44.36,52.43,32.57,18.46,22.45,4.5,16.49,19.04
6/9/2016,60.09,52.62,7.08,91.64,45.93,51.55,53.61,53.52,49.31,55.65,35.6,21.65,24.79,5.76,18.27,16.8
14/11/2016,67.76,61.42,12.48,102.42,53.21,60.24,63.25,62.24,61.24,64.25,49.19,27.11,30.12,8.04,26.15,29.18
22/12/2016,72,63,12,104,54,62,62,62,62,65,50,26,33,8,26,29
20/1/2017,67.5,61.58,13.71,102.84,52.36,60.85,62.28,62.67,61.79,63.89,48.99,28.11,34.83,7.63,25.61,28.83
13/2/2017,68.29,61.02,12.21,103.23,53.86,61.26,62.68,62.84,62.35,63.18,49.57,26.79,34.21,8.37,25.68,28.36
