sp,tree_id,pres_calib,tens_calib,pressure
HH,1,1.243472222,1.04125,0.02
HH,2,1.663333333,0.654583333,0.02
HH,3,1.341527778,1.001666667,0.02
VM,4,1.249722222,0.939722222,0.02
VM,5,0.889444444,0.736666667,0.02
VM,6,1.368888889,0.821666667,0.02
HB,7,1.797777778,2.696666667,0.02
HB,8,3.506388889,3.5725,0.02
HB,9,5.811388889,3.736944444,0.02
TG,10,5.383819444,2.9425,0.02
TG,11,8.229722222,2.266666667,0.02
TG,12,14.54333333,8.152777778,0.02
AP,13,32.03916667,32.58333333,0.02
AP,14,26.795,19.38888889,0.02
AP,15,35.43416667,35.03416667,0.02
HH,1,1.427444444,0.836944444,0.05
HH,2,1.584777778,0.731222222,0.05
HH,3,1.611722222,0.980222222,0.05
VM,4,1.998,1.174777778,0.05
VM,5,1.379277778,1.065833333,0.05
VM,6,1.224,0.767555556,0.05
HB,7,2.203777778,3.026333333,0.05
HB,8,4.469333333,4.074444444,0.05
HB,9,5.914777778,4.291111111,0.05
TG,10,5.564,4.663444444,0.05
TG,11,6.349222222,4.917777778,0.05
TG,12,11.83944444,10.669,0.05
AP,13,21.98,24.26766667,0.05
AP,14,21.36,15.87266667,0.05
AP,15,25.87133333,27.03566667,0.05
HH,1,1.506458333,1.040416667,0.08
HH,2,1.623541667,0.729756944,0.08
HH,3,1.885347222,1.099340278,0.08
VM,4,2.401493056,1.033611111,0.08
VM,5,1.480104167,0.941631944,0.08
VM,6,1.461111111,0.989166667,0.08
HB,7,3.148055556,3.44375,0.08
HB,8,4.791527778,3.136527778,0.08
HB,9,5.382361111,3.935902778,0.08
TG,10,4.984722222,3.370833333,0.08
TG,11,6.48375,5.077083333,0.08
TG,12,15.03465278,10.45972222,0.08
AP,13,17.99083333,19.27020833,0.08
AP,14,19.21125,12.67305556,0.08
AP,15,20.79895833,19.51479167,0.08
