species,count_2,total_2,count_5,total_5,count_8,total_8
HB,7,20,13,13,8,14
HB,9,20,28,28,8,17
HB,7,20,7,23,8,17
HB,11,21,18,27,9,17
HB,10,24,20,22,5,15
HB,0,15,16,24,5,15
HB,6,19,17,17,10,18
HB,8,23,16,16,11,15
HB,7,17,26,26,8,18
HB,7,15,15,16,7,14
HB,8,13,11,22,10,16
HB,18,22,13,26,13,20
HB,8,19,28,29,9,16
HB,12,23,14,34,4,21
HB,14,19,21,24,6,13
HB,6,24,19,23,5,12
HB,4,24,15,17,7,14
HB,4,20,18,22,6,14
HB,5,21,9,16,11,19
HB,4,22,9,13,12,20
HB,8,15,14,19,8,14
HB,6,13,12,17,9,15
HB,6,22,19,20,5,11
HB,5,15,19,20,7,12
HB,0,17,18,19,10,17
HB,1,19,21,21,10,18
HB,6,22,19,19,9,19
HB,7,19,12,13,7,15
HB,0,18,18,19,10,14
HB,0,20,18,19,6,13
HB,0,15,19,20,4,13
HB,1,19,23,25,4,14
HH,2,29,1,119,1,27
HH,3,70,2,130,6,79
HH,0,99,5,102,7,89
HH,3,86,1,122,23,74
HH,1,71,13,113,25,73
HH,4,68,11,106,59,109
HH,1,78,9,111,11,84
HH,1,86,11,103,59,103
HH,2,74,7,107,39,77
HH,17,94,12,105,8,86
HH,14,89,6,110,9,113
HH,1,103,0,112,10,98
HH,3,116,0,121,27,86
HH,6,112,0,108,35,93
HH,34,97,13,111,8,75
HH,7,110,14,126,2,102
HH,7,111,2,128,7,16
HH,0,122,1,121,6,18
HH,0,126,0,124,9,21
HH,0,119,2,105,11,22
HH,2,109,5,116,8,15
HH,0,123,5,112,7,14
HH,,,3,109,5,13
HH,,,4,114,6,12
HH,,,,,9,18
HH,,,,,8,16
HH,,,,,8,20
HH,,,,,5,17
HH,,,,,10,19
HH,,,,,6,16
HH,,,,,3,13
HH,,,,,3,19
VM,25,25,3,30,16,16
VM,31,100,21,97,91,146
VM,20,110,21,97,23,90
VM,12,85,11,101,40,103
VM,57,128,11,101,12,84
VM,60,112,94,120,26,123
VM,38,105,93,117,33,125
VM,36,121,14,113,61,73
VM,22,66,47,76,50,97
VM,13,66,67,115,22,72
VM,14,86,27,96,80,106
VM,49,90,15,87,97,119
VM,27,79,80,102,15,89
VM,98,117,40,78,19,109
VM,16,134,24,91,75,149
VM,89,105,32,75,51,111
VM,61,107,26,108,12,105
VM,26,88,21,91,,
VM,7,85,52,90,,
VM,37,89,65,116,,
VM,10,85,36,94,,
VM,15,61,21,132,,
VM,43,103,22,136,,
VM,9,109,18,120,,
VM,3,127,37,87,,
VM,4,115,40,79,,
VM,20,74,34,85,,
VM,26,78,39,89,,
VM,15,82,13,95,,
VM,62,155,13,105,,
VM,85,134,15,75,,
VM,61,133,34,69,,
VM,,,41,132,,
VM,,,34,102,,
VM,,,54,74,,
VM,,,31,76,,
VM,,,29,90,,
VM,,,10,122,,
VM,,,19,83,,
VM,,,28,76,,
VM,,,9,118,,
VM,,,11,140,,
VM,,,15,89,,
TG,8,24,35,38,31,39
TG,6,32,44,45,30,34
TG,11,27,39,41,37,40
TG,7,27,32,35,37,38
TG,17,35,40,42,34,36
TG,16,33,36,39,29,32
TG,16,36,35,35,30,36
TG,8,32,37,38,36,43
TG,21,27,8,52,33,34
TG,28,35,5,38,38,40
TG,16,33,5,53,27,32
TG,20,37,7,47,30,41
TG,16,35,22,56,30,32
TG,20,37,8,56,29,30
TG,5,23,21,50,36,37
TG,6,25,21,43,38,38
TG,18,38,13,51,27,39
TG,14,28,23,33,28,37
TG,13,39,14,34,6,45
TG,14,32,28,31,16,62
TG,10,21,34,41,34,40
TG,15,21,33,37,43,48
TG,4,20,33,45,36,41
TG,15,21,26,33,43,50
TG,0,40,28,31,36,40
TG,0,41,18,30,31,34
TG,7,33,20,34,23,33
TG,4,30,28,32,21,35
TG,0,32,23,25,39,44
TG,0,46,26,57,35,42
TG,0,41,31,35,29,38
TG,2,38,35,37,37,40
TG,,,8,22,41,44
TG,7,33,33,37,44,48
TG,14,24,36,47,38,45
TG,8,19,,,,
TG,7,36,,,,
TG,6,32,,,,
AP,13,66,8,60,16,47
AP,15,36,9,50,21,34
AP,2,36,5,40,12,24
AP,1,32,7,50,7,20
AP,3,20,7,41,13,41
AP,4,30,5,41,14,33
AP,7,60,4,33,7,21
AP,10,53,7,36,7,26
AP,4,58,9,39,15,26
AP,4,51,11,30,11,21
AP,10,94,11,24,29,39
AP,8,67,12,26,18,30
AP,9,66,14,35,10,27
AP,8,61,5,33,14,29
AP,4,45,8,29,17,33
AP,6,36,11,42,14,35
AP,6,48,12,40,12,22
AP,14,45,14,47,9,24
AP,22,56,11,48,17,34
AP,22,52,8,24,15,33
AP,8,43,8,26,4,38
AP,8,44,7,42,5,37
AP,16,62,9,42,13,25
AP,15,62,7,25,7,22
AP,,,7,35,9,23
AP,,,5,37,6,21
AP,,,8,39,7,39
AP,,,6,36,8,38
AP,,,6,36,10,26
AP,,,6,42,7,27
AP,,,6,33,11,40
AP,,,,,6,38
AP,,,,,41,44
AP,,,,,44,48
AP,,,,,38,45
